Ref,A,A1,A2,B,B1,B2,X,X1,A mole,A1 mole,A2 mole,B mole,B1 mole,B2 mole,X mole,X1 mole,Prep Meth,CalcT(K),Calc time(h),Prom Meth,Promoter,Prom %w,Crystal,BandGap(eV),Surface Area(m2/g),CatW,Alcohol%,Sac. Agent1,Sac. Agent2,Light type,Power(W),Wave length(<nm),ProdRate(μmol/gh),Label
[S67],Na,non,non,Nb,In,non,O,,0.113,,,0.456,0.161,,0.274,,co-pre,773,12,PD,Pt,0.8,,3.1,17.4,0.81,18.5,,,Xe,300,420,6.6,[S67]NaNbIn
[S67],Na,non,non,Nb,In,non,O,,0.09,,,0.362,0.298,,0.25,,co-pre,773,12,PD,Pt,0.8,,3,22.9,0.81,18.5,,,Xe,300,420,16.4,[S67]NaNbIn
[S67],Na,non,non,Nb,In,non,O,,0.07,,,0.281,0.417,,0.232,,co-pre,773,12,PD,Pt,0.8,,2.9,29.3,0.81,18.5,,,Xe,300,420,13.2,[S67]NaNbIn
[S67],Na,non,non,Nb,In,non,O,,0.052,,,0.21,0.52,,0.217,,co-pre,773,12,PD,Pt,0.8,,2.8,32.7,0.81,18.5,,,Xe,300,420,4.8,[S67]NaNbIn
[S67],Na,non,non,Nb,In,non,O,,0.023,,,0.093,0.691,,0.193,,co-pre,773,12,PD,Pt,0.8,,2.7,44,0.81,18.5,,,Xe,300,420,1.3,[S67]NaNbIn
[S68],Ba,non,non,Ta,non,non,O,,0.416,,,0.439,,,0.145,,co-pre,1423,18,,,,octahedral,4.06,,1,20,,,Xe,300,400,300,[S68]BaTa
[S68],Ba,non,non,Ta,non,non,O,N,0.416,,,0.438,,,0.145,0.001,co-pre,1423,18,,,,octahedral,1.78,,1,20,,,Xe,300,400,500,[S68]BaTa
[S69],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,co-pre,,,,,,orthorombic,3.64,,1,25,AgNO3,,Xe,300,420,1660,[S69]NaTa
[S69],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SSR,,,PD,Ag,0.05,orthorombic,3.64,,1,25,AgNO3,,Xe,300,420,2740,[S69]NaTa
[S69],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SSR,,,PD,Ag,0.1,orthorombic,3.64,,1,25,AgNO3,,Xe,300,420,3540,[S69]NaTa
[S69],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,,,PD,Ag,0.2,orthorombic,3.64,,1,25,AgNO3,,Xe,300,420,3170,[S69]NaTa
[S70],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,1423,10,,,,cubic,4,2,0.5,10,,,Hg,150,365,1600,[S70]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,,,,cubic,3.75,,0.6,20,,,Hg,450,365,90,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,PD,NiO,0.05,cubic,3.75,,0.6,20,,,Hg,450,365,640,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SSR,543,2,PD,NiO,0.1,cubic,3.75,,0.6,20,,,Hg,450,365,740,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,PD,NiO,0.2,cubic,3.75,,0.6,20,,,Hg,450,365,1900,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,PD,NiO,0.4,cubic,3.75,,0.6,20,,,Hg,450,365,1600,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,PD,NiO,0.8,cubic,3.75,,0.6,20,,,Hg,450,365,1000,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,PD,NiO,1.2,cubic,3.75,,0.6,20,,,Hg,450,365,540,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,PD,NiO,1.6,cubic,3.75,,0.6,20,,,Hg,450,365,460,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,PD,NiO,2,cubic,3.75,,0.6,20,,,Hg,450,365,420,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,impreg,NiO,0.05,cubic,3.75,,0.6,20,,,Hg,450,365,160,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,impreg,NiO,0.1,cubic,3.75,,0.6,20,,,Hg,450,365,220,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,impreg,NiO,0.2,cubic,3.75,,0.6,20,,,Hg,450,365,340,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,impreg,NiO,0.4,cubic,3.75,,0.6,20,,,Hg,450,365,220,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,impreg,NiO,0.8,cubic,3.75,,0.6,20,,,Hg,450,365,310,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,impreg,NiO,1.2,cubic,3.75,,0.6,20,,,Hg,450,365,260,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,impreg,NiO,1.6,cubic,3.75,,0.6,20,,,Hg,450,365,460,[S71]NaTa
[S71],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,HT,543,2,impreg,NiO,2,cubic,3.75,,0.6,20,,,Hg,450,365,400,[S71]NaTa
[S72],Ga,non,non,In,non,non,O,,0.351,,,0.437,,,0.212,,HT,1470,10,PD,Pt,1,octahedral,3.8,1.3,1,5.4,AgNO3,,Hg,450,365,30,[S72]GaIn
[S73],K,non,non,Ta,Zr,non,O,,0.169,,,0.624,0.027,,0.18,,HT,1173,,impreg,NiO,1.5,,3.8,,3.33,0,,,Xe,500,420,1223,[S73]KTaZr
[S74],Na,La,non,Ta,non,non,O,,0.091,0.006,,0.714,,,0.189,,HT,1420,10,impreg,NiO,0.2,,4.01,2.5,2.56,0,NaOH,,Hg,400,365,15000,[S74]NaLaTa
[S75],Na,non,non,Sb,non,non,O,,0.119,,,0.632,,,0.249,,SSR,1173,16,impreg,RuO2,1,octahedral,4.41,,12.5,0,,,Hg,200,365,24,[S75]NaSb
[S76],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SSR,1420,10,impreg,Pt,0.05,octahedral,4,0.44,2.85,0,NaOH,,Hg,400,365,3390,[S76]NaTa
[S76],Li,non,non,Ta,non,non,O,,0.029,,,0.767,,,0.203,,SSR,1420,10,impreg,Pt,0.05,octahedral,4,0.44,2.85,0,,,Hg,400,365,430,[S76]LiTa
[S76],K,non,non,Ta,non,non,O,,0.146,,,0.675,,,0.179,,SSR,1420,10,impreg,Pt,0.05,octahedral,4,0.44,2.85,0,,,Hg,400,365,29,[S76]KTa
[S77],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SSR,770,2,impreg,Ni,1,,4,,2.5,0,KNO3,,Hg,450,365,300,[S77]NaTa
[S78],Ag,non,non,Ta,non,non,O,,0.321,,,0.537,,,0.142,,SSR,1350,5,PD,NiO,0.24,orthorombic,3.4,1,1,0,,,Xe,300,300,138,[S78]AgTa
[S78],Ag,non,non,Nb,non,non,O,,0.434,,,0.373,,,0.193,,SSR,1150,5,PD,NiO,0.24,orthorombic,3.4,1,1,0,AgNO3,,Xe,300,300,103.5,[S78]AgNb
[S79],Sr,Cr,non,Ti,Sb,non,O,,0.467,0.006,,0.255,0.016,,0.256,,SSR,1420,10,PD,Pt,0.3,octahedral,2.4,,1.56,8,AgNO3,,Xe,300,420,156,[S79]SrCrTiSb
[S80],Na,La,non,Ta,non,non,O,,0.09,0.011,,0.71,,,0.188,,SSR,1420,10,impreg,NiO,0.2,,4.09,3.2,2.56,0,NaOH,,Hg,400,365,19800,[S80]NaLaTa
[S81],La,non,non,In,non,non,O,,0.46,,,0.381,,,0.159,,SSR,1473,16,impreg,RuO2,1,octahedral,4.425,,1,0,,,Hg,200,365,5,[S81]LaIn
[S82],In,Ba,non,Nb,non,non,O,,0.199,0.475,,0.161,,,0.166,,SSR,1123,8,impreg,NiO,1,cubic,3.51,1.71,1.85,18.5,,,Hg,400,365,54,[S82]InBaNb
[S82],In,Sr,non,Nb,non,non,O,,0.24,0.366,,0.194,,,0.2,,SSR,1123,8,impreg,NiO,1,cubic,3.51,1.71,1.85,18.5,,,Hg,400,365,27.6,[S82]InSrNb
[S82],In,Ca,non,Nb,non,non,O,,0.299,0.209,,0.242,,,0.25,,SSR,1123,8,impreg,NiO,1,orthorombic,3.51,1.71,1.85,18.5,,,Hg,400,365,29.6,[S82]InCaNb
[S83],Co,Ca,non,Nb,non,non,O,,0.116,0.236,,0.365,,,0.283,,SSR,1123,8,impreg,NiO,1,monoclinic,2.8,2.2,1.85,18.5,,,Xe,300,420,1.72,[S83]CoCaNb
[S83],Co,Sr,non,Nb,non,non,O,,0.09,0.403,,0.285,,,0.221,,SSR,1123,8,impreg,NiO,1,cubic,2.8,2.2,1.85,18.5,,,Xe,300,420,1.72,[S83]CoSrNb
[S83],Co,Ba,non,Nb,non,non,O,,0.074,0.515,,0.232,,,0.18,,SSR,1123,8,impreg,NiO,1,cubic,2.8,2.2,1.85,18.5,,,Xe,300,420,2.74,[S83]CoBaNb
[S84],Ba,Zn,non,Nb,non,non,O,,0.51,0.081,,0.23,,,0.178,,SSR,1123,8,PD,Pt,0.5,cubic,3.82,0.61,1.35,13.5,,,Hg,400,365,1416.4,[S84]BaZnNb
[S84],Ba,non,non,Ta,non,non,O,,0.419,,,0.368,,,0.146,,SSR,1123,8,PD,Pt,0.5,cubic,3.82,0.61,1.35,13.5,,,Hg,400,365,389.6,[S84]BaTa
[S85],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,SSR,1373,15,PD,Pt,0.1,,1.7,,2,10,,,Xe,300,440,390,[S85]SrTi
[S84],Ba,Ni,non,Nb,non,non,O,,0.514,0.074,,0.232,,,0.18,,SSR,1123,8,PD,Pt,0.5,cubic,3.82,0.61,1.35,13.5,,,Hg,400,365,136.44,[S84]BaNiNb
[S84],Ba,Ni,non,Ta,non,non,O,,0.422,0.06,,0.371,,,0.147,,SSR,1123,8,PD,Pt,0.5,cubic,3.82,0.61,1.35,13.5,,,Hg,400,365,84.32,[S84]BaNiTa
[S86],Ba,Zn,non,Nb,non,non,O,,0.51,0.081,,0.23,,,0.178,,SSR,1473,32,impreg,NiO,1,cubic,3.9,1.24,1.35,13.5,,,Hg,400,365,584.44,[S86]BaZnNb
[S87],K,Ta,non,Zr,non,non,O,,0.143,0.643,,0.028,,,0.185,,SSR,1173,10,impreg,Pt,0.2,,3.54,,3.33,0,KOH,,Xe,500,420,575,[S87]KTaZr
[S88],Sr,non,non,Ti,Fe,non,O,,0.097,,,0.053,0.743,,0.107,,SSR,,,,,,,3.7,,1,8,,,visible,250,,85,[S88]SrTiFe
[S88],Sr,Bi,non,Ti,Fe,non,O,,0.048,0.689,,0.026,0.184,,0.053,,SSR,,,,,,,3.26,,1,8,,,visible,250,420,129,[S88]SrBiTiFe
[S89],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SSR,1473,10,,,,monoclinic,3.99,23,1.11,0,,,Hg,400,365,1940,[S89]NaTa
[S90],Ba,non,non,Nb,Co,non,O,,0.515,,,0.232,0.074,,0.18,,HT,1023,2,impreg,Pt,0.5,cubic,3,19.7,0.74,18.5,,,Xe,300,420,18.1,[S90]BaNbCo
[S91],Sr,Cr,non,Ti,non,non,O,,0.458,0.014,,0.263,,,0.264,,HT,1373,24,impreg,Pt,0.4,cubic,1.9,1.92,0.92,18.5,,,Hg,300,420,84,[S91]SrCrTi
[S92],Sr,non,non,Sn,non,non,O,,0.345,,,0.467,,,0.189,,SG,,,,Pt,0.5,orthorombic,4.1,0.4,0.54,13.5,AgNO3,,Hg,400,365,8.2,[S92]SrSn
[S93],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SG,1473,10,,,,monoclinic,3.9,23,1.11,0,,,Hg,400,365,2050,[S93]NaTa
[S94],Na,non,non,Nb,non,non,O,,0.14,,,0.567,,,0.293,,SSR,,,,,,polyhedron,3.08,2.08,2.38,5,,,Hg,350,365,950,[S94]NaNb
[S94],K,non,non,Nb,non,non,O,,0.217,,,0.516,,,0.267,,HT,,,,,,,3.08,2.08,2.38,5,,,Hg,350,365,100,[S94]KNb
[S94],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SG,,,,,,cubic,3.08,2.08,2.38,5,,,Hg,350,365,36750,[S94]NaTa
[S94],K,non,non,Ta,non,non,O,,0.146,,,0.675,,,0.179,,HT,,,,,,,3.08,2.08,2.38,5,,,Hg,350,365,1040,[S94]KTa
[S95],Sr,Ba,non,Sn,non,non,O,,0.075,0.353,,0.407,,,0.165,,HT,1273,3,impreg,RuO2,1,octahedral,3.3,0.55,0.476,0,,,Xe,400,420,220,[S95]SrBaSn
[S96],Na,La,non,Ta,Co,non,O,,0.082,0.055,,0.648,0.023,,0.191,,HT,1423,10,PD,Pt,0.2,octahedral,2.95,,1.85,18.5,,,Hg,300,420,8.68,[S96]NaLaTaCo
[S97],Bi,non,non,Fe,non,non,O,,0.668,,,0.178,,,0.153,,HT,,,,,,rhombohedral,2.1,,1,0,FeCl3,,Hg,500,400,7.5,[S97]BiFe
[S98],Ba,non,non,Zr,non,non,O,,0.497,,,0.33,,,0.174,,PC,1273,6,,,,cubic,4.8,6.8,0.476,0,,,Hg,400,365,522.5,[S98]BaZr
[S99],Sr,non,non,Ti,non,non,O,,0.333,,,0.364,,,0.304,,SSR,1273,6,,,,tetragonal,3.29,9.81,0.2,0,HCOOH,,Hg,150,365,218.9,[S99]SrTi
[S99],Ca,non,non,Ti,non,non,O,,0.186,,,0.444,,,0.371,,HT,1273,6,,,,tetragonal,3.29,9.81,0.2,0,C3H8O,,Hg,150,365,65.1,[S99]CaTi
[S99],Ba,non,non,Ti,non,non,O,,0.439,,,0.306,,,0.256,,SG,1273,6,,,,tetragonal,3.29,9.81,0.2,0,C3H8O,,Hg,150,365,29.35,[S99]BaTi
[S100],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,SSR,1273,3,PD,Pt,0.32,cubic,3.1,,0.4,10,,,Hg,500,365,3200,[S100]SrTi
[S101],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,SSR,1273,10,impreg,Pt,1,cubic,3.17,3.42,2,10,,,Hg,450,420,78,[S101]SrTi
[S102],K,non,non,Nb,non,non,O,,0.217,,,0.516,,,0.267,,SSR,,,PD,Pt,0.5,orthorombic,3.1,8.5,0.42,12,,,Xe,400,420,5170,[S102]KNb
[S103],Sr,La,non,Ti,non,non,O,,0.363,0.144,,0.248,,,0.232,0.014,SG,1173,10,impreg,Pt,3,cubic,2.65,9.86,0.55,18.5,AgNO3,,Xe,300,420,66.67,[S103]SrLaTi
[S104],Ag,non,non,Sb,non,non,O,,0.389,,,0.438,,,0.173,,HT,1173,8,,,,cubic,2.98,2.5,1.85,0,AgNO3,,Hg,300,400,296,[S104]AgSb
[S105],Na,Sr,non,Ta,non,non,O,,0.089,0.017,,0.706,,,0.187,,HT,1423,10,impreg,NiO,0.1,monoclinic,4.09,2.6,1.42,0,,,Hg,400,365,27200,[S105]NaSrTa
[S105],Na,Ba,non,Ta,non,non,O,,0.068,0.215,,0.566,,,0.15,,novel,1423,10,impreg,NiO,0.1,monoclinic,4.09,2.6,1.42,0,,,Hg,400,365,19560,[S105]NaBaTa
[S105],Na,Ca,non,Ta,non,non,O,,0.089,0.016,,0.708,,,0.188,,SSR,1423,10,impreg,NiO,0.1,monoclinic,4.09,2.6,1.42,0,,,Hg,400,365,9860,[S105]NaCaTa
[S106],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SSR,1473,10,,,,monoclinic,3.99,23,1.11,0,,,Hg,400,365,2600,[S106]NaTa
[S107],Sr,Ag,non,Ti,non,non,O,,0.094,0.348,,0.051,,,0.206,,SSR,1073,2,,,,polyhedron,3.75,2.6,0.37,0,AgNO3,,Xe,300,410,648,[S107]SrAgTi
[S108],Sr,Na,non,Ti,non,non,O,,0.462,0.006,,0.266,,,0.266,,SSR,1373,20,impreg,Rh,0.5,,3.5,2.6,0.75,0,,,Hg,450,365,22,[S108]SrNaTi
[S109],Na,Sr,non,Ta,non,non,O,,0.091,0.002,,0.717,,,0.19,,SG,1423,10,,,,,4.05,,0.5,0,,,Hg,400,365,2180,[S109]NaSrTa
[S110],Y,non,non,In,non,non,O,,0.353,,,0.456,,,0.191,,SSR,1373,12,,Pt,0.5,cubic,3.75,,2.91,0,Na2S,Na2SO3,Xe,300,420,18.88,[S110]YIn
[S111],Na,Bi,non,Ta,non,non,O,,0.084,0.609,,0.132,,,0.175,,SSR,,,impreg,NiO,0.1,octahedral,4.27,9.44,0.476,5,,,Hg,350,400,59.48,[S111]NaBiTa
[S112],Na,La,non,Ta,Cr,non,O,,0.056,0.225,,0.44,0.084,,0.195,,SSR,1423,10,PD,Pt,0.2,octahedral,3.06,1,1.85,18.5,,,Xe,300,420,9,[S112]NaLaTaCr
[S113],Na,non,non,Nb,non,non,O,,0.14,,,0.567,,,0.293,,novel,773,5,impreg,RuO2,0.5,orthorombic,3.4,38,0.85,0,,,Hg,400,365,70,[S113]NaNb
[S114],Ba,non,non,Sn,Zr,non,O,,0.482,,,0.125,0.224,,0.169,,HT,1273,6,,,,cubic,3.8,2.33,0.476,0,,,Hg,400,365,690,[S114]BaSnZr
[S115],Ca,non,non,Ti,non,non,O,,0.295,,,0.352,,,0.353,,SSR,1273,10,PD,Pt,0.04,,3.5,1.7,2.5,10,CH4,,Xe,300,420,11.52,[S115]CaTi
[S116],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,novel,1473,10,impreg,NiO,3,monoclinic,3.44,24,0.909,0,,,Hg,400,365,9000,[S116]NaTa
[S117],Sr,non,non,Nb,Al,non,O,,0.343,,,0.364,0.106,,0.188,,PC,1673,10,impreg,RuO2,1,cubic,4.1,3.2,1,10,,,Hg,100,365,53.4,[S117]SrNbAl
[S118],La,non,non,Ni,Cu,non,O,,0.562,,,0.167,0.077,,0.194,,SSR,603,2,,,,,2.8,,0.5,0,CH2O,,Xe,125,400,583,[S118]LaNiCu
[S119],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,SG,973,4,impreg,Au,1,cubic,3.18,8.64,0.5,50,,,Xe,300,400,1000,[S119]SrTi
[S120],Na,non,non,Nb,In,non,O,,0.09,,,0.362,0.298,,0.25,,SSR,773,12,PD,Pt,0.8,,2.91,22.9,1.11,18.5,,,Hg,400,365,42.9,[S120]NaNbIn
[S121],La,non,non,Fe,non,non,O,,0.572,,,0.23,,,0.198,,SG,773,2,,,,orthorombic,2.11,25.8,2.5,10,AgNO3,,Hg,125,420,1720,[S121]LaFe
[S122],Ba,non,non,Ta,Zr,non,O,,0.382,,,0.478,0.013,,0.091,,SG,1223,20,impreg,Pt,0.3,,2.03,2.55,0.4,0,NaI,,Xe,300,420,1.8,[S122]BaTaZr
[S123],Na,K,non,Ta,non,non,O,,0.086,0.008,,0.716,,,0.19,,co-pre,1023,2,,,,orthorombic,3.9,20,0.285,14,,,Hg,400,365,1057,[S123]NaKTa
[S124],Na,La,non,Ti,non,non,O,,0.059,0.417,,0.248,,,0.255,,SG,,,PD,Pt,1,cubic,2.25,,1.11,18.5,,,Xe,300,420,8.2,[S124]NaLaTi
[S125],Sr,Cr,non,Ti,non,non,O,,0.458,0.014,,0.263,,,0.264,,PC,1373,24,PD,Pt,0.6,cubic,3.34,23.2,0.925,18.5,,,Xe,300,420,330.4,[S125]SrCrTi
[S126],Na,La,non,Ta,non,non,O,,0.089,0.011,,0.712,,,0.189,,SG,1173,12,impreg,NiO,0.6,orthorombic,4,4.54,0.333,10,,,Hg,400,250,3450,[S126]NaLaTa
[S127],Li,non,non,Nb,non,non,O,,0.047,,,0.628,,,0.325,,HT,773,5,impreg,RuO2,0.5,amorphous,4.13,12,0.833,10,,,Hg,400,365,103.33,[S127]LiNb
[S128],Na,La,non,Ta,non,non,O,,0.09,0.011,,0.71,,,0.188,,HT,1173,12,,,,orthorombic,4,4.54,0.333,10,,,Hg,400,365,1430,[S128]NaLaTa
[S129],Sr,Cr,non,Ti,Ta,non,O,,0.476,0.001,,0.26,0.001,,0.261,,SG,1423,20,PD,Pt,1,,3.17,52.6,5,20,,,Xe,300,420,86.4,[S129]SrCrTiTa
[S130],Ga,non,non,Fe,non,non,O,,0.402,,,0.322,,,0.277,,novel,1623,8,,,,orthorombic,2.1,56,3.33,0,,,Xe,300,420,722,[S130]GaFe
[S131],Ag,non,non,Sb,non,non,O,,0.389,,,0.438,,,0.173,,SG,1173,16,,,,tetragonal,2.4,,1.11,0,AgNO3,,Xe,300,420,276,[S131]AgSb
[S132],Cr,non,non,Ti,Ta,non,O,,0.02,,,0.437,0.068,,0.475,,novel,,,PD,Pt,0.5,cubic,2.91,16.6,1.11,18.5,,,Xe,300,420,6.67,[S132]CrTiTa
[S133],Ca,non,non,Ta,Zr,non,O,,0.161,,,0.58,0.073,,0.141,,SG,1273,12,PD,Pt,1,,2.63,7.28,0.555,11,HCOOH,,Xe,300,420,52.4,[S133]CaTaZr
[S134],Sr,Ni,non,Ti,Ta,non,O,,0.475,0.001,,0.26,0.004,,0.26,,HT,1173,,PD,Pt,1,cubic,3.26,22.7,5,20,,,Xe,300,420,561.2,[S134]SrNiTiTa
[S135],Na,non,non,Ta,Bi,non,O,,0.091,,,0.663,0.058,,0.189,,HT,1173,,,,,orthorombic,2.91,45.1,5,20,,,Xe,300,420,224,[S135]NaTaBi
[S135],Na,non,non,Ta,Bi,non,O,,0.091,,,0.663,0.058,,0.189,,PC,1173,,,,,orthorombic,2.91,45.1,5,20,,,Xe,300,420,876,[S135]NaTaBi
[S135],Na,non,non,Ta,Bi,non,O,,0.091,,,0.663,0.058,,0.189,,novel,1173,,,,,orthorombic,2.91,45.1,5,20,,,Xe,300,420,1108,[S135]NaTaBi
[S135],Na,non,non,Ta,Bi,non,O,,0.091,,,0.663,0.058,,0.189,,novel,1173,,,,,orthorombic,2.91,45.1,5,20,,,Xe,300,420,1355,[S135]NaTaBi
[S135],Na,non,non,Ta,Bi,non,O,,0.09,,,0.655,0.066,,0.189,,novel,1173,,,,,orthorombic,2.91,45.1,5,20,,,Xe,300,420,216,[S135]NaTaBi
[S136],Bi,Na,non,Ti,non,non,O,,0.493,0.054,,0.226,,,0.227,,novel,,,PD,Pt,3,octahedral,3.02,17.4,0.75,20,,,Xe,500,420,369.8,[S136]BiNaTi
[S137],Na,non,non,Ta,Bi,non,O,,0.086,,,0.676,0.059,,0.179,,novel,1173,10,impreg,Pt,0.06,cubic,2.95,1.35,0.5,20,,,Xe,800,390,17.2,[S137]NaTaBi
[S138],Na,non,non,Nb,non,non,O,,0.14,,,0.567,,,0.293,,novel,873,2,PD,Pt,0.5,cubic,3.29,28.6,1.11,18.5,,,Xe,300,300,520.33,[S138]NaNb
[S139],Sr,non,non,Ti,non,non,O,,0.333,,,0.364,,,0.304,,HT,823,1,,,,cubic,3.17,98.26,0.5,18.5,,,Hg,400,365,1100,[S139]SrTi
[S140],Na,non,non,Nb,non,non,O,,0.14,,,0.567,,,0.293,,SSR,673,12,impreg,Pt,0.5,orthorombic,2.98,,1,20,,,Xe,400,300,103.3,[S140]NaNb
[S140],Na,non,non,Nb,non,non,O,,0.14,,,0.567,,,0.293,,PC,773,12,impreg,Pt,1.5,orthorombic,2.99,,1,20,,,Xe,400,300,330.3,[S140]NaNb
[S140],Na,non,non,Nb,non,non,O,,0.14,,,0.567,,,0.293,,SG,873,12,impreg,Pt,2.5,orthorombic,3.06,,1,20,,,Xe,400,300,261.1,[S140]NaNb
[S140],Na,non,non,Nb,non,non,O,,0.14,,,0.567,,,0.293,,HT,,,impreg,Pt,3.5,orthorombic,3.09,,1,20,,,Xe,400,300,7.5,[S140]NaNb
[S141],K,non,non,Nb,non,non,O,,0.217,,,0.516,,,0.267,,HT,973,,,Pt,1,orthorombic,3.21,1.5,2,10,,,Xe,450,,29,[S141]KNb
[S141],K,non,non,Nb,Zr,non,O,,0.207,,,0.492,0.045,,0.255,,HT,973,,,Pt,1,orthorombic,3.2,1.83,2,10,,,Xe,450,,175.41,[S141]KNbZr
[S141],K,non,non,Nb,Zr,non,O,,0.192,,,0.456,0.115,,0.236,,HT,973,,,Pt,1,orthorombic,3.16,2.96,2,10,,,Xe,450,,886.87,[S141]KNbZr
[S141],K,non,non,Nb,Zr,non,O,,0.181,,,0.43,0.166,,0.223,,HT,973,,,Pt,1,orthorombic,3.08,8.55,2,10,,,Xe,450,,517.95,[S141]KNbZr
[S141],K,non,non,Nb,Zr,non,O,,0.163,,,0.388,0.248,,0.201,,HT,973,,,Pt,1,orthorombic,3.01,14.55,2,10,,,Xe,450,,520.8,[S141]KNbZr
[S141],K,non,non,Nb,Zr,non,O,,0.181,,,0.43,0.166,,0.223,,HT,973,,,Pt,0.5,orthorombic,3.08,8.55,2,10,,,Xe,450,,895,[S141]KNbZr
[S141],K,non,non,Nb,Zr,non,O,,0.181,,,0.43,0.166,,0.223,,HT,973,,,Pt,2,orthorombic,3.08,8.55,2,10,,,Xe,450,,458.33,[S141]KNbZr
[S142],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,HT,1373,10,,,,cubic,3.2,,1,0,,,visible,420,420,0.6,[S142]SrTi
[S142],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,HT,1373,10,,NiO,0.5,cubic,3.2,,1,0,,,visible,420,420,3,[S142]SrTi
[S142],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,HT,1373,10,,NiO,1,cubic,3.2,,1,0,,,visible,420,420,12,[S142]SrTi
[S142],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,SSR,1373,10,,NiO,3,cubic,3.2,,1,0,,,visible,420,420,3,[S142]SrTi
[S143],Na,non,non,Ta,non,non,O,,0.091,,,0.718,,,0.191,,SSR,1023,2,,,,orthorombic,3.97,,1,10,,,Xe,300,400,633,[S143]NaTa
[S143],Na,non,non,Ta,Nb,non,O,,0.095,,,0.67,0.038,,0.197,,SSR,1023,2,,,,orthorombic,3.9,,1,10,,,Xe,300,400,717,[S143]NaTaNb
[S143],Na,non,non,Ta,Nb,non,O,,0.098,,,0.618,0.079,,0.205,,SSR,1023,2,,,,orthorombic,3.83,,1,10,,,Xe,300,400,1333,[S143]NaTaNb
[S143],Na,non,non,Ta,Nb,non,O,,0.102,,,0.562,0.124,,0.213,,novel,1023,2,,,,orthorombic,3.76,,1,10,,,Xe,300,400,2000,[S143]NaTaNb
[S143],Na,non,non,Ta,Nb,non,O,,0.111,,,0.435,0.223,,0.231,,novel,1023,2,,,,orthorombic,3.69,,1,10,,,Xe,300,400,2416,[S143]NaTaNb
[S143],Na,non,non,Ta,Nb,non,O,,0.121,,,0.285,0.342,,0.252,,novel,1023,2,,,,cubic,3.62,,1,10,,,Xe,300,400,1583,[S143]NaTaNb
